,SERVICE_PROVIDER_ID,COUNTRY_CODE,YEAR_NO,MONTH_NO,DAY_NO,HOUR_NO,NumberOfHits,DATA_TYPE
347,8,120.0,2023.0,10.0,9.0,21.0,1257,GEO DATA
348,8,120.0,2023.0,10.0,9.0,22.0,993,GEO DATA
349,8,120.0,2023.0,10.0,9.0,23.0,1038,GEO DATA
350,8,120.0,2023.0,10.0,10.0,0.0,1125,GEO DATA
351,8,120.0,2023.0,10.0,10.0,1.0,1295,GEO DATA
352,8,120.0,2023.0,10.0,10.0,2.0,1232,GEO DATA
353,8,120.0,2023.0,10.0,10.0,4.0,4,GEO DATA
354,8,120.0,2023.0,10.0,10.0,5.0,6,GEO DATA
355,8,120.0,2023.0,10.0,10.0,6.0,4,GEO DATA
356,8,120.0,2023.0,10.0,10.0,7.0,3,GEO DATA
357,8,120.0,2023.0,10.0,10.0,8.0,2,GEO DATA
358,8,120.0,2023.0,10.0,10.0,9.0,9,GEO DATA
359,8,120.0,2023.0,10.0,10.0,10.0,8,GEO DATA
360,8,120.0,2023.0,10.0,10.0,11.0,11,GEO DATA
361,8,120.0,2023.0,10.0,10.0,12.0,4,GEO DATA
362,8,120.0,2023.0,10.0,10.0,13.0,4,GEO DATA
363,8,120.0,2023.0,10.0,10.0,15.0,5,GEO DATA
364,8,120.0,2023.0,10.0,10.0,16.0,3,GEO DATA
365,8,120.0,2023.0,10.0,10.0,17.0,3,GEO DATA
366,8,120.0,2023.0,10.0,10.0,18.0,6,GEO DATA
367,8,120.0,2023.0,10.0,10.0,19.0,4,GEO DATA
368,8,120.0,2023.0,10.0,10.0,20.0,7,GEO DATA
369,8,120.0,2023.0,10.0,10.0,21.0,3,GEO DATA
370,8,120.0,2023.0,10.0,10.0,22.0,2,GEO DATA
371,8,120.0,2023.0,10.0,10.0,23.0,2,GEO DATA
372,8,120.0,2023.0,10.0,11.0,0.0,1,GEO DATA
373,8,120.0,2023.0,10.0,13.0,3.0,129,GEO DATA
374,8,120.0,2023.0,10.0,13.0,4.0,8,GEO DATA
375,8,120.0,2023.0,10.0,13.0,5.0,344,GEO DATA
376,8,120.0,2023.0,10.0,13.0,6.0,87,GEO DATA
377,8,120.0,2023.0,10.0,13.0,7.0,116,GEO DATA
378,8,120.0,2023.0,10.0,13.0,8.0,607,GEO DATA
379,8,120.0,2023.0,10.0,13.0,9.0,1370,GEO DATA
380,8,120.0,2023.0,10.0,13.0,10.0,1177,GEO DATA
381,8,120.0,2023.0,10.0,13.0,11.0,969,GEO DATA
382,8,120.0,2023.0,10.0,13.0,12.0,1416,GEO DATA
383,8,120.0,2023.0,10.0,13.0,13.0,1332,GEO DATA
384,8,120.0,2023.0,10.0,13.0,14.0,1524,GEO DATA
385,8,120.0,2023.0,10.0,13.0,15.0,1409,GEO DATA
386,8,120.0,2023.0,10.0,13.0,16.0,1689,GEO DATA
387,8,120.0,2023.0,10.0,13.0,17.0,2260,GEO DATA
388,8,120.0,2023.0,10.0,13.0,18.0,2412,GEO DATA
389,8,120.0,2023.0,10.0,13.0,19.0,2045,GEO DATA
390,8,120.0,2023.0,10.0,13.0,20.0,1298,GEO DATA
