,index,Device_ID_geo,Latitude,Longitude,Timestamp,Location_Name,Service_Provider_ID
2923,2326,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.9557,2023-10-10 14:37:25,42181141-adf9-2b5d-deea-18a2a9234a11,9
2924,2327,42181141-adf9-2b5d-deea-18a2a9234a11,16.71456,42.95572,2023-10-10 14:37:28,42181141-adf9-2b5d-deea-18a2a9234a11,9
2925,2328,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95586,2023-10-10 14:48:13,42181141-adf9-2b5d-deea-18a2a9234a11,9
2926,2329,42181141-adf9-2b5d-deea-18a2a9234a11,16.71444,42.95585,2023-10-10 14:48:16,42181141-adf9-2b5d-deea-18a2a9234a11,9
2927,2330,42181141-adf9-2b5d-deea-18a2a9234a11,16.71448,42.95587,2023-10-10 14:48:21,42181141-adf9-2b5d-deea-18a2a9234a11,9
2928,2331,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95586,2023-10-10 14:48:24,42181141-adf9-2b5d-deea-18a2a9234a11,9
2929,2332,42181141-adf9-2b5d-deea-18a2a9234a11,16.71445,42.95586,2023-10-10 14:48:29,42181141-adf9-2b5d-deea-18a2a9234a11,9
2930,2333,42181141-adf9-2b5d-deea-18a2a9234a11,16.71894,42.95523,2023-10-10 15:24:26,42181141-adf9-2b5d-deea-18a2a9234a11,9
2931,2334,42181141-adf9-2b5d-deea-18a2a9234a11,16.71437,42.95583,2023-10-10 15:41:02,42181141-adf9-2b5d-deea-18a2a9234a11,9
2932,2335,42181141-adf9-2b5d-deea-18a2a9234a11,16.71443,42.9558,2023-10-10 16:21:06,42181141-adf9-2b5d-deea-18a2a9234a11,9
2933,2336,42181141-adf9-2b5d-deea-18a2a9234a11,16.71444,42.95582,2023-10-10 16:21:07,42181141-adf9-2b5d-deea-18a2a9234a11,9
2934,2337,42181141-adf9-2b5d-deea-18a2a9234a11,16.71448,42.9558,2023-10-10 16:21:52,42181141-adf9-2b5d-deea-18a2a9234a11,9
2935,2338,42181141-adf9-2b5d-deea-18a2a9234a11,16.71443,42.95582,2023-10-10 16:21:57,42181141-adf9-2b5d-deea-18a2a9234a11,9
2936,2339,42181141-adf9-2b5d-deea-18a2a9234a11,16.71446,42.95585,2023-10-10 16:21:59,42181141-adf9-2b5d-deea-18a2a9234a11,9
2937,2340,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.95581,2023-10-10 16:32:34,42181141-adf9-2b5d-deea-18a2a9234a11,9
2938,2341,42181141-adf9-2b5d-deea-18a2a9234a11,16.71455,42.95586,2023-10-10 16:32:43,42181141-adf9-2b5d-deea-18a2a9234a11,9
2939,2342,42181141-adf9-2b5d-deea-18a2a9234a11,16.71454,42.95587,2023-10-10 16:32:45,42181141-adf9-2b5d-deea-18a2a9234a11,9
2940,2343,42181141-adf9-2b5d-deea-18a2a9234a11,16.71453,42.9558,2023-10-10 16:32:48,42181141-adf9-2b5d-deea-18a2a9234a11,9
2941,2344,42181141-adf9-2b5d-deea-18a2a9234a11,16.71428,42.95825,2023-10-10 17:04:32,42181141-adf9-2b5d-deea-18a2a9234a11,9
2942,2345,42181141-adf9-2b5d-deea-18a2a9234a11,16.71445,42.95582,2023-10-10 17:18:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
2943,2346,42181141-adf9-2b5d-deea-18a2a9234a11,16.71449,42.95583,2023-10-10 17:18:21,42181141-adf9-2b5d-deea-18a2a9234a11,9
2944,2347,42181141-adf9-2b5d-deea-18a2a9234a11,16.7144,42.95588,2023-10-10 17:18:22,42181141-adf9-2b5d-deea-18a2a9234a11,9
2945,2348,42181141-adf9-2b5d-deea-18a2a9234a11,16.70277,42.95534,2023-10-10 17:23:14,42181141-adf9-2b5d-deea-18a2a9234a11,9
2946,2349,42181141-adf9-2b5d-deea-18a2a9234a11,16.71457,42.95587,2023-10-10 17:27:06,42181141-adf9-2b5d-deea-18a2a9234a11,9
2947,2350,42181141-adf9-2b5d-deea-18a2a9234a11,16.71453,42.95588,2023-10-10 17:27:08,42181141-adf9-2b5d-deea-18a2a9234a11,9
2948,2351,42181141-adf9-2b5d-deea-18a2a9234a11,16.7145,42.95583,2023-10-10 17:27:51,42181141-adf9-2b5d-deea-18a2a9234a11,9
2949,2352,42181141-adf9-2b5d-deea-18a2a9234a11,16.71452,42.95585,2023-10-10 17:27:59,42181141-adf9-2b5d-deea-18a2a9234a11,9
2950,2353,42181141-adf9-2b5d-deea-18a2a9234a11,16.87522,42.55629,2023-10-10 18:16:10,42181141-adf9-2b5d-deea-18a2a9234a11,9
2951,2354,42181141-adf9-2b5d-deea-18a2a9234a11,16.87528,42.55622,2023-10-10 18:16:20,42181141-adf9-2b5d-deea-18a2a9234a11,9
2952,2355,42181141-adf9-2b5d-deea-18a2a9234a11,16.71187,42.93945,2023-10-10 18:17:45,42181141-adf9-2b5d-deea-18a2a9234a11,9
2953,2356,42181141-adf9-2b5d-deea-18a2a9234a11,16.78736,42.96184,2023-10-10 18:21:33,42181141-adf9-2b5d-deea-18a2a9234a11,9
2954,2357,42181141-adf9-2b5d-deea-18a2a9234a11,16.7871,42.96182,2023-10-10 18:45:30,42181141-adf9-2b5d-deea-18a2a9234a11,9
2955,2358,42181141-adf9-2b5d-deea-18a2a9234a11,16.90261,42.54833,2023-10-10 18:47:15,42181141-adf9-2b5d-deea-18a2a9234a11,9
2956,2359,42181141-adf9-2b5d-deea-18a2a9234a11,16.90264,42.54831,2023-10-10 18:47:16,42181141-adf9-2b5d-deea-18a2a9234a11,9
2957,2360,42181141-adf9-2b5d-deea-18a2a9234a11,16.79227,42.93686,2023-10-10 18:54:58,42181141-adf9-2b5d-deea-18a2a9234a11,9
2958,2361,42181141-adf9-2b5d-deea-18a2a9234a11,16.90255,42.5483,2023-10-10 19:06:11,42181141-adf9-2b5d-deea-18a2a9234a11,9
2959,2362,42181141-adf9-2b5d-deea-18a2a9234a11,16.90257,42.54834,2023-10-10 19:06:17,42181141-adf9-2b5d-deea-18a2a9234a11,9
2960,2363,42181141-adf9-2b5d-deea-18a2a9234a11,16.7173,42.9555,2023-10-10 19:38:33,42181141-adf9-2b5d-deea-18a2a9234a11,9
2961,2364,42181141-adf9-2b5d-deea-18a2a9234a11,16.71628,42.95607,2023-10-10 19:44:49,42181141-adf9-2b5d-deea-18a2a9234a11,9
2962,2365,42181141-adf9-2b5d-deea-18a2a9234a11,16.71632,42.95607,2023-10-10 19:59:17,42181141-adf9-2b5d-deea-18a2a9234a11,9
2963,2366,42181141-adf9-2b5d-deea-18a2a9234a11,16.71763,42.9565,2023-10-10 20:24:38,42181141-adf9-2b5d-deea-18a2a9234a11,9
2964,2367,42181141-adf9-2b5d-deea-18a2a9234a11,16.881,42.54085,2023-10-10 20:33:17,42181141-adf9-2b5d-deea-18a2a9234a11,9
2965,2368,42181141-adf9-2b5d-deea-18a2a9234a11,16.71748,42.95551,2023-10-10 20:50:51,42181141-adf9-2b5d-deea-18a2a9234a11,9
2966,2369,42181141-adf9-2b5d-deea-18a2a9234a11,16.82447,42.67685,2023-10-10 20:59:31,42181141-adf9-2b5d-deea-18a2a9234a11,9
2967,2370,42181141-adf9-2b5d-deea-18a2a9234a11,16.82445,42.67686,2023-10-10 20:59:34,42181141-adf9-2b5d-deea-18a2a9234a11,9
